GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                         
4375	00250737	Twenty-Nine Palms Reservation	12	5	1555103	0	       0.600	       0.000	 33.710485	-116.187762                                                                                             
4390	01448012	Uintah and Ouray Reservation and Off-Reservation Trust Land	24369	11695	17544964423	132039197	    6774.149	      50.981	 40.412713	-110.746850                                            
4405	01159100	Umatilla Reservation	3031	1179	701112510	0	     270.701	       0.000	 45.627097	-118.544274                                                                                               
4430	01654496	Upper Lake Rancheria	87	48	1918812	8580	       0.741	       0.003	 39.185265	-122.919206                                                                                                  
4445	00653567	Upper Sioux Community and Off-Reservation Trust Land	148	52	5198174	115488	       2.007	       0.045	 44.762128	 -95.508061                                                               
4455	02419510	Upper Skagit Reservation	220	86	456348	0	       0.176	       0.000	 48.540730	-122.187278                                                                                                 
4470	00169579	Ute Mountain Reservation and Off-Reservation Trust Land	1742	630	2332906744	597785	     900.740	       0.231	 37.146140	-108.612966                                                       
4500	00251037	Viejas Reservation	520	192	6495679	0	       2.508	       0.000	 32.850146	-116.692556                                                                                                     
4515	00857504	Walker River Reservation	746	363	1368415150	7784350	     528.348	       3.006	 38.978794	-118.718154                                                                                      
4530	02419514	Wampanoag-Aquinnah Trust Land	76	39	1903945	21663	       0.735	       0.008	 41.346501	 -70.786112                                                                                        
4545	01133438	Warm Springs Reservation and Off-Reservation Trust Land	4012	1064	2638961338	10698796	    1018.909	       4.131	 44.882879	-121.452829                                                    
4560	02419516	Washoe Ranches Trust Land	2916	1557	375530121	2705893	     144.993	       1.045	 38.874042	-119.564603                                                                                    
4580	00849846	Wells Colony	70	28	328254	0	       0.127	       0.000	 41.117016	-114.979017                                                                                                              
4595	01934333	White Earth Reservation and Off-Reservation Trust Land	9562	5372	2842682465	179871625	    1097.566	      69.449	 47.211960	 -95.727525                                                    
4610	01597068	Wind River Reservation and Off-Reservation Trust Land	26490	10531	8999750170	149680618	    3474.823	      57.792	 43.272382	-108.844496                                                   
4625	00834982	Winnebago Reservation and Off-Reservation Trust Land	2694	901	458351731	2944331	     176.971	       1.137	 42.225627	 -96.596102                                                          
4635	00849652	Winnemucca Indian Colony	53	26	1441446	0	       0.557	       0.000	 40.953163	-117.721199                                                                                                 
4665	01985241	Woodfords Community	214	65	1578776	0	       0.610	       0.000	 38.800485	-119.794154                                                                                                     
4680	00252581	XL Ranch Rancheria	60	26	39457210	41941	      15.235	       0.016	 41.551120	-120.452841                                                                                                  
4690	01502906	Yakama Nation Reservation and Off-Reservation Trust Land	31272	8928	5662605430	4239577	    2186.344	       1.637	 46.228749	-120.819723                                                   
4700	01891160	Yankton Reservation	6465	2576	1723552879	49380249	     665.468	      19.066	 43.103237	 -98.374376                                                                                        
4708	00027214	Yavapai-Apache Nation Reservation	718	213	2614872	0	       1.010	       0.000	 34.619457	-111.895724                                                                                      
4710	00036443	Yavapai-Prescott Reservation	192	74	5705750	0	       2.203	       0.000	 34.550689	-112.435038                                                                                            
4725	00848133	Yerington Colony	151	63	81339	0	       0.031	       0.000	 38.980848	-119.170908                                                                                                          
4740	00862119	Yomba Reservation	95	36	18911928	11308	       7.302	       0.004	 38.904158	-117.491063                                                                                                   
4755	02419529	Ysleta del Sur Pueblo and Off-Reservation Trust Land	804	222	13028444	0	       5.030	       0.000	 31.908175	-106.017884                                                                  
4760	02419530	Yurok Reservation	1238	663	219458477	8670505	      84.733	       3.348	 41.379159	-123.902329                                                                                             
4770	01934347	Zia Pueblo and Off-Reservation Trust Land	737	201	494896543	115707	     191.081	       0.045	 35.561562	-106.744243                                                                       
4785	01934346	Zuni Reservation and Off-Reservation Trust Land	7891	2192	1876577609	3296124	     724.551	       1.273	 35.005278	-108.781728                                                             
9100	01930930	Golden Hill Paugussett (state) Reservation	4	4	399343	0	       0.154	       0.000	 41.552187	 -72.268020                                                                                  
9150	02418958	Hassanamisco (state) Reservation	2	1	20909	0	       0.008	       0.000	 42.212011	 -71.704496                                                                                             
9230	01470191	Mattaponi (state) Reservation	65	33	279160	31696	       0.108	       0.012	 37.661503	 -76.915128                                                                                         
9240	02419024	MOWA Choctaw (state) Reservation	87	36	2694225	0	       1.040	       0.000	 31.152068	 -88.053417                                                                                         
9260	01472036	Pamunkey (state) Reservation	73	43	4422059	1958360	       1.707	       0.756	 37.571833	 -77.005218                                                                                       
9280	00209709	Paucatuck Eastern Pequot (state) Reservation	30	16	924356	59004	       0.357	       0.023	 41.445532	 -71.937776                                                                          
9300	00979384	Poospatuck (state) Reservation	324	124	291825	148132	       0.113	       0.057	 40.788722	 -72.832492                                                                                     
9350	00210687	Schaghticoke (state) Reservation	9	4	1122120	0	       0.433	       0.000	 41.692509	 -73.509126                                                                                           
9370	00979494	Shinnecock (state) Reservation	662	256	3494294	0	       1.349	       0.000	 40.873761	 -72.430970                                                                                         
9400	02419487	Tama (state) Reservation	9	8	365137	2118	       0.141	       0.001	 30.862259	 -84.265009                                                                                                 
